facility,"vendor_category","vendor_reference_location"
C7600_SIP200_SPITX,"Cisco 7600, Catalyst 6500 SIP-200 SPI4.2 bus egress interface","http://www.cisco.com/c/en/us/td/docs/ios/15_0sy/system/messages/15sysmg/sm15syovr.html"
C7600_SSC600,"Services SPA Carrier Card (SSC600)","http://www.cisco.com/c/en/us/td/docs/ios/15_0sy/system/messages/15sysmg/sm15syovr.html"
C830_HW_CRYPTO,"C830 Hifn","http://www.cisco.com/c/en/us/td/docs/ios/15_0sy/system/messages/15sysmg/sm15syovr.html"
C870_FE,"Cisco 870 Fast Ethernet","http://www.cisco.com/c/en/us/td/docs/ios/15_0sy/system/messages/15sysmg/sm15syovr.html"
C870_HW_CRYPTO,"Cisco 850, Cisco 870 Motorola SEC 1.0","http://www.cisco.com/c/en/us/td/docs/ios/15_0sy/system/messages/15sysmg/sm15syovr.html"
C950,"Cisco 950","http://www.cisco.com/c/en/us/td/docs/ios/15_0sy/system/messages/15sysmg/sm15syovr.html"
CAIM,"Compression Advanced Interface Module (CAIM)","http://www.cisco.com/c/en/us/td/docs/ios/15_0sy/system/messages/15sysmg/sm15syovr.html"
CALL_CONTROL,"Call control","http://www.cisco.com/c/en/us/td/docs/ios/15_0sy/system/messages/15sysmg/sm15syovr.html"
CALL_HOME,"Call Home","http://www.cisco.com/c/en/us/td/docs/ios/15_0sy/system/messages/15sysmg/sm15syovr.html"
CALL_MGMT,"Call management subsystem","http://www.cisco.com/c/en/us/td/docs/ios/15_0sy/system/messages/15sysmg/sm15syovr.html"
CALLPROG,"Call progress notification subsystem","http://www.cisco.com/c/en/us/td/docs/ios/15_0sy/system/messages/15sysmg/sm15syovr.html"
CALLRECORD,"Modem Call Record","http://www.cisco.com/c/en/us/td/docs/ios/15_0sy/system/messages/15sysmg/sm15syovr.html"
CALLTREAT,"Call treatment","http://www.cisco.com/c/en/us/td/docs/ios/15_0sy/system/messages/15sysmg/sm15syovr.html"
CALLTREAT_NOSIGNAL,"Call Treatment (TREAT)","http://www.cisco.com/c/en/us/td/docs/ios/15_0sy/system/messages/15sysmg/sm15syovr.html"
CALLTRKR,"Call Tracker subsystem","http://www.cisco.com/c/en/us/td/docs/ios/15_0sy/system/messages/15sysmg/sm15syovr.html"
CAMP,"Cooperative Asymmetric Multiprocessing","http://www.cisco.com/c/en/us/td/docs/ios/15_0sy/system/messages/15sysmg/sm15syovr.html"
CAPI,"Card API","http://www.cisco.com/c/en/us/td/docs/ios/15_0sy/system/messages/15sysmg/sm15syovr.html"
CAPI_EC,"Card or EtherChannel limitation","http://www.cisco.com/c/en/us/td/docs/ios/15_0sy/system/messages/15sysmg/sm15syovr.html"
CARDMGR,"SIP-400 Card Manager (data plane)","http://www.cisco.com/c/en/us/td/docs/ios/15_0sy/system/messages/15sysmg/sm15syovr.html"
CARRIER,"DFC carrier","http://www.cisco.com/c/en/us/td/docs/ios/15_0sy/system/messages/15sysmg/sm15syovr.html"
CASA,"Cisco Appliance and Services Architecture (CASA)","http://www.cisco.com/c/en/us/td/docs/ios/15_0sy/system/messages/15sysmg/sm15syovr.html"
CBUS,"CiscoBus controller","http://www.cisco.com/c/en/us/td/docs/ios/15_0sy/system/messages/15sysmg/sm15syovr.html"
CBUS_ATTN,"CMCC CIP for Cisco bus controller statistics routine","http://www.cisco.com/c/en/us/td/docs/ios/15_0sy/system/messages/15sysmg/sm15syovr.html"
CBUS_WRITE,"CMCC CIP for Cisco bus controller write support","http://www.cisco.com/c/en/us/td/docs/ios/15_0sy/system/messages/15sysmg/sm15syovr.html"
CCA,"CMCC CIP for channel card adapter","http://www.cisco.com/c/en/us/td/docs/ios/15_0sy/system/messages/15sysmg/sm15syovr.html"
CCH323,"Call Control for H.323","http://www.cisco.com/c/en/us/td/docs/ios/15_0sy/system/messages/15sysmg/sm15syovr.html"
CCPROXY,"H.323 proxy","http://www.cisco.com/c/en/us/td/docs/ios/15_0sy/system/messages/15sysmg/sm15syovr.html"
CDM,"Cable Data Modem subsystem","http://www.cisco.com/c/en/us/td/docs/ios/15_0sy/system/messages/15sysmg/sm15syovr.html"
CDMA_PDSN,"CDMA PDSN","http://www.cisco.com/c/en/us/td/docs/ios/15_0sy/system/messages/15sysmg/sm15syovr.html"
CDNLD_CLIENT,"Client NRP2 configuration download","http://www.cisco.com/c/en/us/td/docs/ios/15_0sy/system/messages/15sysmg/sm15syovr.html"
CDNLD_SERVER,"Server NSP configuration download","http://www.cisco.com/c/en/us/td/docs/ios/15_0sy/system/messages/15sysmg/sm15syovr.html"
CDP,"Cisco Discovery Protocol (CDP)","http://www.cisco.com/c/en/us/td/docs/ios/15_0sy/system/messages/15sysmg/sm15syovr.html"
CDSX_MODULE,"Network module","http://www.cisco.com/c/en/us/td/docs/ios/15_0sy/system/messages/15sysmg/sm15syovr.html"
CE3,"CE3 port adapter (CE3)","http://www.cisco.com/c/en/us/td/docs/ios/15_0sy/system/messages/15sysmg/sm15syovr.html"
CEIPNM,"Circuit Emulation over IP Network Module","http://www.cisco.com/c/en/us/td/docs/ios/15_0sy/system/messages/15sysmg/sm15syovr.html"
CERF,"Cache Error Recovery Function (CERF)","http://www.cisco.com/c/en/us/td/docs/ios/15_0sy/system/messages/15sysmg/sm15syovr.html"
CES,"Circuit Emulation Service (CES)","http://www.cisco.com/c/en/us/td/docs/ios/15_0sy/system/messages/15sysmg/sm15syovr.html"
CES_CLIENT,"Client circuit emulation service (CESt","http://www.cisco.com/c/en/us/td/docs/ios/15_0sy/system/messages/15sysmg/sm15syovr.html"
CES_CONN,"TDM connection","http://www.cisco.com/c/en/us/td/docs/ios/15_0sy/system/messages/15sysmg/sm15syovr.html"
CFG,"Invalid Cisco 1840 configuration","http://www.cisco.com/c/en/us/td/docs/ios/15_0sy/system/messages/15sysmg/sm15syovr.html"
CFGMGR,"Configuration Manager","http://www.cisco.com/c/en/us/td/docs/ios/15_0sy/system/messages/15sysmg/sm15syovr.html"
CFIB,"Constellation FIB","http://www.cisco.com/c/en/us/td/docs/ios/15_0sy/system/messages/15sysmg/sm15syovr.html"
CFM,"Connectivity Fault Management","http://www.cisco.com/c/en/us/td/docs/ios/15_0sy/system/messages/15sysmg/sm15syovr.html"
CHANNEL_BANK,"Channel Bank","http://www.cisco.com/c/en/us/td/docs/ios/15_0sy/system/messages/15sysmg/sm15syovr.html"
CHARLOTTE,"Dual OC-3 PoS port adapter","http://www.cisco.com/c/en/us/td/docs/ios/15_0sy/system/messages/15sysmg/sm15syovr.html"
CHKPT,"Checkpoint facility","http://www.cisco.com/c/en/us/td/docs/ios/15_0sy/system/messages/15sysmg/sm15syovr.html"
CHOC12,"CHOC12 port adapter","http://www.cisco.com/c/en/us/td/docs/ios/15_0sy/system/messages/15sysmg/sm15syovr.html"
CHOPIN,"Versatile Interface Processor (VIP) Multi-channel Port Adapter","http://www.cisco.com/c/en/us/td/docs/ios/15_0sy/system/messages/15sysmg/sm15syovr.html"
CHOPIN_MAINBOARD_ASYNC_PQII,"Chopin Main Board Asynchronous driver","http://www.cisco.com/c/en/us/td/docs/ios/15_0sy/system/messages/15sysmg/sm15syovr.html"
CHSTM1,"CHSTM1","http://www.cisco.com/c/en/us/td/docs/ios/15_0sy/system/messages/15sysmg/sm15syovr.html"
CI,"Cisco 7500 platform chassis interface","http://www.cisco.com/c/en/us/td/docs/ios/15_0sy/system/messages/15sysmg/sm15syovr.html"
CIOS,"CMCC channel adapter Cisco IOS wrapper","http://www.cisco.com/c/en/us/td/docs/ios/15_0sy/system/messages/15sysmg/sm15syovr.html"
CIP and CIP2,"Channel Interface Processor (CIP) and enhanced CIP","http://www.cisco.com/c/en/us/td/docs/ios/15_0sy/system/messages/15sysmg/sm15syovr.html"
CIPDUMP,"CIP core dump","http://www.cisco.com/c/en/us/td/docs/ios/15_0sy/system/messages/15sysmg/sm15syovr.html"
